"id_releve","YR.REL","x_l93","y_l93","ELEV","surface","meta_original_id_rel"
9829716,2004,1002623.499,6420867.404,2589,NA,575677
9829719,2004,1003045.244,6421657.5,2694,NA,575694
9829721,2004,990393.182,6419847.45,2359,NA,575719
9829724,2004,991363.821,6419852.696,2365,NA,575738
9829730,2004,996251.052,6425337.844,2321,NA,575855
9829733,2004,995907.128,6424501.903,2458,NA,575867
9829735,2004,997429.407,6423897.885,2771,NA,575878
9833175,2012,1015563.68,6408362.79,2635,NA,921365
9837441,2009,1014907.2,6487544.376,2832,NA,693107
9838461,2008,1006323.579,6503908.823,2444,NA,662990
9838737,2008,977022.105,6429021.979,2379,NA,659120
9838767,2009,987964.284,6519034.716,2429,NA,694714
9838852,2014,949233.0534,6439459.9704,2479,50,998913
9838890,2008,976381.418,6378607.849,2359,NA,660809
9839216,2014,937292.642885,6435782.914484,2410,100,1053097
9839282,2013,952616.6214,6445723.2258,2302,100,944316
9839380,2010,974459.756,6448707.012,2455,NA,752805
9839404,2011,1004641.772,6399992.265,2448,NA,874535
9841569,2012,924685.53,6413142.8898,2212,100,929048
9842720,2009,945271.412,6466793.656,2171,NA,693723
9843062,2005,966175.587,6441547.991,2250,NA,571084
9845463,2001,997253.474,6357481.539,2600,30,388507
9845572,2002,1005295.069,6368158.687,2375,NA,389703
9845925,2004,997157.346,6424467.335,2850,NA,573646
9846640,2002,1006753.729,6369578.033,2256,NA,389745
9848543,2019,1007174.123433,6422492.510064,2528,16,1546966
9850597,2017,1005517.563168,6388768.101686,2789,100,1486649
9850775,2002,999992.795,6364024.718,2493,NA,389954
9851008,2002,1010054.093,6374957.229,2439,50,390162
9851687,2019,1008434.17,6489994.09,2597,NA,1548520
9851705,2002,997240.974,6355886.4,2596,100,390583
9851729,2002,990767.926,6360373.61,2409,90,390621
9851843,2010,954580.613,6453604.713,2196,NA,790992
9854083,2001,996356.932,6360478.176,2559,20,388444
9854084,2001,998005.458,6357417.99,2661,30,388476
9854132,2001,996223.127,6357926.451,2630,20,388526
9854145,2001,996847.357,6356740.681,2427,12,388553
9854170,2002,1005855.258,6368707.432,2610,NA,389611
9854238,2002,1001464.086,6364325.29,2235,NA,390001
9854310,2002,1002241.89,6363574.853,2371,NA,390060
9854634,2002,994175.452,6353648.464,2443,20,390681
9854726,2007,1008492.28,6391367.996,2636,40,624065
9855091,2012,1015509.03,6408517.3,2623,30,921670
9856202,2002,1005473.268,6369000.162,2426,NA,389674
9856256,2002,1000241.937,6363443.035,2582,NA,389917
9856485,2002,1005147.496,6367795.172,2376,NA,389742
9857456,2002,994456.871,6354804.707,2286,25,390660
9860130,2008,963428.042,6450056.613,2534,NA,660315
9860163,2003,1015214.669,6492571.991,2518,NA,494500
9860178,2004,996545.217,6423882.764,2600,NA,573631
9860600,2012,1015548.64,6408387.29,2633,NA,921540
9862021,2018,976624.4471354,6430832.392586,2254,100,1453129
9866102,2014,952230.7806,6440948.8812,2646,25,1020067
9867256,2009,988032.385,6361085.556,2402,NA,691631
9867312,2002,1005118.457,6368940.888,2324,NA,389692
9867444,2002,1004673.841,6367948.372,2490,NA,389784
9867445,2002,1005219.539,6368012.88,2366,NA,389711
9867447,2002,1004790.35,6368286.345,2316,NA,389719
9867495,2002,1003587.067,6367247.166,2697,NA,389815
9867546,2002,1001693.279,6363128.105,2396,NA,390029
9867652,2002,1006784.268,6368628.581,2433,20,390711
9867691,2003,994396.762,6361074.815,2418,NA,391687
9872087,2007,1000103.964,6516483.512,2695,NA,627090
9876272,2002,956572.999,6415485.896,2571,NA,410717
9877948,2004,999888.837,6423386.285,2547,NA,574949
9877965,2004,996382.289,6426154.677,2134,NA,575849
9877966,2004,996283.259,6425558.536,2294,NA,575854
9877967,2004,996148.917,6425090.812,2357,NA,575858
9877968,2004,996169.905,6424978.727,2372,NA,575861
9878918,2010,966173.689,6445151.563,2420,NA,790905
9878920,2010,966144.361,6441564.661,2239,NA,790895
9890354,2012,936968.5612673,6435642.329692,2272,100,959182
9890356,2001,995306.044,6360054.422,2609,30,388406
9892355,2017,980663.0169208,6370149.703402,2150,100,1391303
9897005,2009,988369.662,6361413.279,2480,NA,694369
9897012,2001,997127.379,6357622.729,2605,40,388508
9897048,2002,1005095.069,6368638.458,2276,NA,389709
9897097,2002,1009638.844,6374136.946,2336,25,390176
9897131,2002,994981.84,6353784.262,2569,100,390653
9897134,2002,1006713.594,6368442.951,2515,20,390710
9897314,2002,1007188.334,6368973.638,2388,NA,389648
9897315,2002,1007201.625,6369010.323,2388,NA,389649
9897318,2002,1006837.512,6369435.978,2292,NA,389661
9897328,2002,1003968.401,6366938.271,2649,NA,389798
9897349,2002,1002184.362,6363635.15,2345,NA,390074
9897354,2002,1009309.713,6373372.984,2184,30,390184
9897375,2002,995370.867,6354161.836,2405,25,390493
9897382,2002,996600.637,6362234.309,2377,NA,391198
9897386,2003,994582.317,6361012.432,2474,NA,391688
9897454,2010,987282.311,6359057.515,2332,NA,752907
9897557,2001,996346.095,6359975.188,2503,30,388437
9897563,2001,998314.103,6357615.785,2509,20,388472
9897575,2001,997026.327,6356821.19,2447,20,388550
9897583,2002,1006982.667,6368257.888,2640,NA,389628
9897595,2002,1005046.321,6367615.09,2401,NA,389739
9897623,2002,1001229.128,6363708.446,2403,NA,390005
9897655,2002,1009167.145,6370464.063,2551,30,390245
9897670,2002,994951.876,6363037.612,2159,NA,390364
9897687,2002,997504.311,6360227.021,2215,60,390444
9897817,2017,1005517.563168,6388768.101686,2789,100,1366373
9898568,2008,1006846.453,6392310.077,2548,25,668839
9898827,2001,998258.464,6357560.097,2562,20,388473
9899012,2007,1008462.911,6391426.605,2626,30,624064
9899064,2002,1005311.521,6368071.399,2382,NA,389704
9899069,2002,1005274.135,6367702.222,2420,NA,389737
9899089,2002,1004056.141,6368674.202,2515,NA,389793
9899102,2002,1001588.141,6362996.941,2428,NA,390030
9899124,2002,998157.038,6359337.023,2557,NA,390336
9899127,2002,995051.145,6363587.771,2264,35,390360
9899150,2002,1002011.729,6362349.607,2556,20,390695
9899195,2011,996569.422,6360989.662,2409,NA,874362
9899472,2002,1004597.293,6368267.979,2409,NA,389723
9899556,2008,1006813.245,6392155.311,2554,25,668835
9899663,2014,993689.3844564,6342354.357103,2449,60,1021078
