"ID","CAREX","SALIX","YR","X_L93","Y_L93"
"18,0/7,0",0,0,2001,967048,6446574.1
"18,0/8,0",0,1,2001,967059.4,6446574.4
"18,0/9,0",0,1,2001,967071.3,6446576.2
"18,5/11,5",0,0,2001,967101.1,6446572.5
"18,5/5,5",0,0,2001,967030.6,6446566.5
"18,5/6,5",0,1,2001,967042.5,6446567.5
"18,5/7,5",0,1,2001,967054.4,6446568.5
"18,5/8,5",0,1,2001,967065.3,6446569.5
"19,0/10,0",0,0,2001,967083.8,6446565.8
"19,0/11,0",0,0,2001,967095.6,6446566.8
"19,0/12,0",1,0,2001,967107.4,6446567.8
"19,5/11,5",0,0,2001,967102,6446560.6
"2,0/10,0",1,0,2001,967074.2,6446761.4
"2,0/9,0",1,0,2001,967061.3,6446760.5
"2,5/10,5",1,0,2001,967080.2,6446756.5
"2,5/8,5",1,0,2001,967056.4,6446754.6
"2,5/9,5",1,0,2001,967068.3,6446755.6
"20,0/11,0",0,0,2001,967096.1,6446555.2
"20,0/12,0",0,1,2001,967107.9,6446556.2
"21,0/12,0",1,1,2001,967108.5,6446544.8
"3,0/10,0",1,0,2001,967074.2,6446749.7
"3,0/15,0",1,0,2001,967132.8,6446754.6
"3,0/16,0",1,0,2001,967145.1,6446755.5
"3,0/17,0",1,0,2001,967156.6,6446756.5
"3,0/18,0",1,0,2001,967168.5,6446757.5
"3,0/9,0",1,0,2001,967062.3,6446748.7
"3,5/10,5",1,0,2001,967080.7,6446744.4
"3,5/11,5",1,0,2001,967093.1,6446745.7
"3,5/12,5",1,0,2001,967104,6446746.7
"3,5/13,5",1,0,2001,967115.9,6446747.7
"3,5/14,5",1,0,2001,967127.8,6446748.7
"3,5/15,5",1,0,2001,967139.7,6446749.7
"3,5/16,5",1,0,2001,967150.6,6446750.6
"3,5/17,5",1,0,2001,967163.5,6446751.6
"3,5/8,5",1,0,2001,967057.4,6446742.8
"4,0/10,0",1,0,2001,967075.3,6446738.1
"4,0/11,0",0,0,2001,967086.2,6446738.8
"4,0/12,0",1,0,2001,967099,6446740.8
"4,0/13,0",1,0,2001,967110.6,6446740.9
"4,0/14,0",1,0,2001,967121.9,6446742.8
"4,0/15,0",1,0,2001,967133.8,6446743.7
"4,0/16,0",1,1,2001,967145.7,6446744.7
"4,0/17,0",0,1,2001,967157.4,6446745.2
"4,0/18,0",0,1,2001,967169.3,6446746.1
"4,0/9,0",1,0,2001,967063.4,6446737
"4,5/10,5",0,0,2001,967081,6446732.6
"4,5/11,5",0,0,2001,967093.1,6446733.9
"4,5/12,5",0,0,2001,967105,6446734.9
"4,5/13,5",1,0,2001,967116.9,6446735.9
"4,5/14,5",0,0,2001,967127.8,6446736.9
"4,5/15,5",1,0,2001,967140.7,6446737.8
"4,5/16,5",1,1,2001,967151.6,6446738.8
"4,5/17,5",1,1,2001,967163.5,6446739.8
"4,5/7,5",0,0,2001,967046,6446729.7
"4,5/8,5",1,0,2001,967057.4,6446730
"4,5/9,5",1,0,2001,967069.6,6446731.9
"5,0/10,0",0,0,2001,967075.8,6446726.4
"5,0/11,0",0,0,2001,967087.5,6446727.6
"5,0/12,0",0,0,2001,967099.3,6446728.6
"5,0/13,0",0,0,2001,967111,6446729.3
"5,0/14,0",1,0,2001,967122.8,6446730.5
"5,0/15,0",1,1,2001,967134.7,6446731.6
"5,0/16,0",1,0,2001,967146.7,6446732.9
"5,0/17,0",1,0,2001,967158.1,6446733.5
"5,0/18,0",0,0,2001,967169.5,6446734.9
"5,0/8,0",1,0,2001,967052.2,6446724.6
"5,0/9,0",0,0,2001,967063.9,6446725.6
"5,5/10,5",0,0,2001,967081.8,6446721.4
"5,5/11,5",0,0,2001,967094.1,6446722.1
"5,5/12,5",0,0,2001,967105,6446723.1
"5,5/13,5",0,0,2001,967116.9,6446724.3
"5,5/14,5",1,0,2001,967128.8,6446725
"5,5/15,5",1,0,2001,967140.7,6446726.5
"5,5/16,5",1,0,2001,967152.4,6446727.3
"5,5/17,5",1,0,2001,967164.5,6446729
"5,5/6,5",1,0,2001,967034.6,6446717.2
"5,5/7,5",1,0,2001,967046.5,6446718.1
"5,5/8,5",0,0,2001,967058.4,6446719.1
"5,5/9,5",0,0,2001,967070.3,6446720.1
"6,0/10,0",0,0,2001,967076.2,6446715.2
"6,0/11,0",0,0,2001,967088,6446716.1
"6,0/12,0",0,0,2001,967100,6446717.2
"6,0/13,0",0,0,2001,967111,6446718.1
"6,0/14,0",0,0,2001,967123.4,6446719.1
"6,0/15,0",1,0,2001,967134.8,6446720.1
"6,0/16,0",1,0,2001,967146.7,6446721.1
"6,0/17,0",0,0,2001,967158.6,6446722.1
"6,0/18,0",0,0,2001,967170.5,6446723
"6,0/6,0",1,0,2001,967029.5,6446711.3
"6,0/7,0",0,0,2001,967040.5,6446712.2
"6,0/8,0",0,0,2001,967052.4,6446713.2
"6,0/9,0",0,0,2001,967064.3,6446714.2
"6,5/10,5",0,0,2001,967082.2,6446709.3
"6,5/11,5",0,0,2001,967094.1,6446710.3
"6,5/12,5",0,0,2001,967105.5,6446711.7
"6,5/13,5",0,0,2001,967117.9,6446712.2
"6,5/14,5",0,0,2001,967129.8,6446713.2
"6,5/15,5",1,0,2001,967141.2,6446714.8
"6,5/16,5",0,0,2001,967152.6,6446715.2
"6,5/5,5",1,0,2001,967023.7,6446704.4
"6,5/6,5",0,0,2001,967035.6,6446705.4
"6,5/7,5",0,0,2001,967047.5,6446706.3
"6,5/8,5",0,0,2001,967058.4,6446707.3
"6,5/9,5",0,0,2001,967071.3,6446708.3
"7,0/10,0",0,0,2001,967077.2,6446703.4
"7,0/11,0",0,0,2001,967088.1,6446704.4
"7,0/12,0",0,0,2001,967100,6446705.4
"7,0/13,0",0,0,2001,967111.9,6446706.3
"7,0/14,0",0,0,2001,967123.8,6446707.3
"7,0/15,0",0,1,2001,967135.7,6446708.6
"7,0/16,0",0,0,2001,967147.7,6446709.3
"7,0/17,0",0,0,2001,967158.6,6446710.3
"7,0/18,0",0,0,2001,967171.1,6446711.6
"7,0/19,0",0,0,2001,967182.7,6446712.7
"7,0/5,0",1,0,2001,967018,6446698.3
"7,0/6,0",0,0,2001,967029.6,6446699.4
"7,0/7,0",0,0,2001,967041.5,6446700.4
"7,0/8,0",0,0,2001,967053.4,6446701.4
"7,0/9,0",0,0,2001,967065.1,6446702.4
"7,5/12,5",0,0,2001,967106,6446700.4
"7,5/13,5",0,0,2001,967118.9,6446701.4
"7,5/14,5",0,0,2001,967129.8,6446702.4
"7,5/15,5",0,1,2001,967141.7,6446703.4
"7,5/17,5",1,0,2001,967165.5,6446705.4
"7,5/4,5",1,0,2001,967012.8,6446692
"7,5/5,5",0,0,2001,967024.6,6446693.5
"7,5/6,5",0,0,2001,967035.6,6446694.5
"7,5/7,5",0,0,2001,967048.5,6446695.5
"7,5/8,5",0,0,2001,967059.4,6446696.5
"7,5/9,5",0,0,2001,967071.3,6446697.5
"8,0/10,0",0,0,2001,967077.2,6446691.6
"8,0/11,0",0,0,2001,967089.2,6446693
"8,0/12,0",0,1,2001,967101,6446694.1
"8,0/13,0",0,0,2001,967112.7,6446695.1
"8,0/14,0",0,0,2001,967124.6,6446696.1
"8,0/16,0",0,1,2001,967147.7,6446697.5
"8,0/17,0",0,1,2001,967159.7,6446699.1
"8,0/18,0",1,0,2001,967171.6,6446700
"8,0/4,0",1,0,2001,967006.9,6446686
"8,0/5,0",0,0,2001,967018.7,6446687.1
"8,0/6,0",0,0,2001,967030.4,6446688.1
"8,0/7,0",0,0,2001,967041.5,6446688.6
"8,0/8,0",0,0,2001,967054.4,6446689.6
"8,0/9,0",0,0,2001,967065.7,6446691.1
"8,5/10,5",0,0,2001,967083.2,6446686.6
"8,5/11,5",0,0,2001,967096.1,6446687.6
"8,5/12,5",0,0,2001,967107,6446688.6
"8,5/13,5",0,0,2001,967118.9,6446689.6
"8,5/14,5",0,0,2001,967130.8,6446690.6
"8,5/16,5",0,1,2001,967153.6,6446692.6
"8,5/17,5",0,0,2001,967166.5,6446693.5
