"ID","Year","X_L93","Y_L93","Cluster"
"13.5/15.5",2001,967145.67314893,6446634.47183331,3
"13.5/16.5",2001,967156.585556969,6446635.4562682,3
"13.5/17.5",2001,967169.482039206,6446636.44070309,7
"13.5/2.5",2001,966991.90739917,6446621.67417974,2
"13.5/3.5",2001,967004.803881407,6446622.65861463,2
"13.5/4.5",2001,967015.716289461,6446623.64304952,2
"13.5/5.5",2001,967027.620734595,6446624.62748441,2
"13.5/6.5",2001,967039.525179736,6446625.61191931,2
"13.5/7.5",2001,967051.429624885,6446626.59635419,2
"13.5/8.5",2001,967062.342032924,6446627.58078909,2
"13.5/9.5",2001,967075.238515161,6446628.56522397,9
"14.0/0.0",2001,966963.138323404,6446613.79870063,8
"14.0/1.0",2001,966975.042768545,6446614.29091807,8
"14.0/10.0",2001,967081.058445808,6446623.1138818,10
"14.0/11.0",2001,967092.103145793,6446624.62748441,3
"14.0/12.0",2001,967104.404466721,6446625.18858513,3
"14.0/13.0",2001,967116.189849124,6446626.23916598,3
"14.0/15.0",2001,967139.720926359,6446628.56522397,3
"14.0/16.0",2001,967151.625371493,6446629.54965887,3
"14.0/2.0",2001,966986.847994746,6446615.23840268,6
"14.0/3.0",2001,966998.554154387,6446616.28898354,2
"14.0/4.0",2001,967010.392301167,6446617.14112649,9
"14.0/5.0",2001,967021.668512024,6446618.72087507,5
"14.0/6.0",2001,967033.572957173,6446619.70530997,10
"14.0/7.0",2001,967045.477402307,6446620.68974485,9
"14.0/8.0",2001,967057.381847449,6446621.67417974,2
"14.0/9.0",2001,967069.021861124,6446622.26173884,9
"14.5/1.5",2001,966980.994991116,6446608.87652618,8
"14.5/10.5",2001,967087.14296031,6446617.73644018,4
"14.5/11.5",2001,967099.047405452,6446618.72087507,3
"14.5/12.5",2001,967109.959813505,6446619.70530997,1
"14.5/2.5",2001,966992.899436265,6446609.86096106,2
"14.5/3.5",2001,967004.803881407,6446610.84539596,2
"14.5/4.5",2001,967016.708326556,6446611.82983085,9
"14.5/5.5",2001,967028.61277169,6446612.81426574,10
"14.5/6.5",2001,967039.525179736,6446613.79870063,9
"14.5/7.5",2001,967052.42166198,6446614.78313552,9
"14.5/8.5",2001,967063.334070027,6446615.76757041,9
"14.5/9.5",2001,967075.238515161,6446616.7520053,9
"15.0/0.0",2001,966963.918693409,6446601.66798131,8
"15.0/1.0",2001,966975.667511609,6446602.59678111,6
"15.0/10.0",2001,967081.190737739,6446611.82983085,10
"15.0/11.0",2001,967093.095182888,6446612.81426574,9
"15.0/12.0",2001,967104.999628022,6446613.79870063,3
"15.0/2.0",2001,966987.367410012,6446603.66834575,2
"15.0/3.0",2001,966998.851658843,6446604.93878662,2
"15.0/4.0",2001,967010.756103978,6446605.92322151,9
"15.0/5.0",2001,967022.660549119,6446606.9076564,10
"15.0/6.0",2001,967034.564994268,6446607.89209129,10
"15.0/7.0",2001,967045.477402307,6446608.87652618,10
"15.0/8.0",2001,967058.016696329,6446609.74189833,10
"15.0/9.0",2001,967069.868377095,6446610.73956241,9
"15.5/1.5",2001,966981.70110783,6446597.41252196,2
"15.5/15.5",2001,967146.665186025,6446611.82983085,1
"15.5/2.5",2001,966993.395454817,6446598.53995984,2
"15.5/3.5",2001,967005.795918502,6446600.01661217,9
"15.5/5.5",2001,967028.61277169,6446601.98548195,5
"15.5/6.5",2001,967040.517216831,6446602.96991684,10
"15.5/7.5",2001,967052.42166198,6446603.95435173,10
"16.0/1.0",2001,966976.034805648,6446591.15669816,2
"16.0/10.0",2001,967082.103399676,6446600.24698305,9
"16.0/11.0",2001,967093.888934476,6446601.23141794,3
"16.0/12.0",2001,967105.991665125,6446602.96991684,1
"16.0/15.0",2001,967140.712963454,6446605.92322151,1
"16.0/2.0",2001,966987.93925079,6446592.14113305,9
"16.0/3.0",2001,966999.678497131,6446593.23051237,4
"16.0/4.0",2001,967011.576833433,6446594.10363912,4
"16.0/5.0",2001,967022.660549119,6446595.09443772,5
"16.0/6.0",2001,967035.038807436,6446596.12505982,10
"16.0/7.0",2001,967046.812789319,6446597.15032229,10
"16.0/8.0",2001,967058.61201002,6446598.19873811,10
"16.5/1.5",2001,966982.383904013,6446585.90767118,9
"16.5/10.5",2001,967088.134997413,6446595.09443772,9
"16.5/14.5",2001,967134.760740876,6446599.03217728,1
"16.5/15.5",2001,967147.604439183,6446600.3529784,1
"16.5/2.5",2001,966993.89147336,6446586.23452372,10
"16.5/3.5",2001,967005.925239074,6446587.92296858,9
"16.5/4.5",2001,967017.336637031,6446588.87751234,10
"16.5/6.5",2001,967041.206918731,6446590.91077335,10
"16.5/7.5",2001,967053.413699076,6446592.14113305,10
"16.5/8.5",2001,967064.326107122,6446593.12556794,10
"16.5/9.5",2001,967076.533040527,6446593.97384635,9
"17.0/14.0",2001,967129.800555408,6446593.12556794,1
"17.0/15.0",2001,967140.540049982,6446593.56640232,1
"17.0/4.0",2001,967012.012724943,6446582.66058697,10
"17.0/5.0",2001,967023.652586214,6446583.28121905,5
"17.0/6.0",2001,967035.601048144,6446584.67122441,10
"17.0/7.0",2001,967047.369024542,6446585.64696462,10
"17.0/8.0",2001,967058.869903099,6446586.72674116,10
"17.0/9.0",2001,967070.962681378,6446587.70070964,9
"17.5/4.5",2001,967017.700363651,6446577.37460971,2
"17.5/5.5",2001,967030.596845888,6446578.3590446,5
"17.5/7.5",2001,967053.413699076,6446580.32791438,9
"17.5/8.5",2001,967065.318144217,6446581.31234926,9
"18.0/13.0",2001,967118.534859861,6446580.0806944,1
"18.0/14.0",2001,967130.494050448,6446581.19194663,1
"18.0/5.0",2001,967024.413264819,6446572.12946002,5
"18.0/6.0",2001,967036.251411613,6446573.1469679,2
"18.0/7.0",2001,967048.023717213,6446574.06525682,9
"18.0/8.0",2001,967059.365921639,6446574.42130504,3
"18.0/9.0",2001,967071.323283568,6446576.19949152,3
"18.5/5.5",2001,967030.596845888,6446566.54582592,2
"18.5/6.5",2001,967042.501291022,6446567.53026082,3
"18.5/7.5",2001,967054.405736178,6446568.5146957,3
"18.5/8.5",2001,967065.318144217,6446569.49913059,3
"19.0/12.0",2001,967107.380578014,6446567.79484468,1
