"id_releve","Carex_present","Salix_present","both_species","ELEV_carex","YEAR_carex","x_l93_carex","y_l93_carex","ELEV_salix","YEAR_salix","x_l93_salix","y_l93_salix","ELEV","YR.REL","x_l93","y_l93","status","ELEV_class","type","period","decade"
"9097604",0,1,"0",NA,NA,NA,NA,2503,2011,1021925.869,6407001.156,2503,2011,1021925.869,6407001.156,"Salix seul",">2500","Salix_only","(2009,2014]",2010
"9098928",0,1,"0",NA,NA,NA,NA,2300,2009,991808.734,6486715.39,2300,2009,991808.734,6486715.39,"Salix seul","2000–2500","Salix_only","(2004,2009]",2000
"9099787",0,1,"0",NA,NA,NA,NA,2610,2008,1004540.678,6456731.206,2610,2008,1004540.678,6456731.206,"Salix seul",">2500","Salix_only","(2004,2009]",2000
"9099800",0,1,"0",NA,NA,NA,NA,2829,2011,1014733.755,6408728.623,2829,2011,1014733.755,6408728.623,"Salix seul",">2500","Salix_only","(2009,2014]",2010
"9100446",0,1,"0",NA,NA,NA,NA,2319,2018,990867.641,6470334.064,2319,2018,990867.641,6470334.064,"Salix seul","2000–2500","Salix_only","(2014,2019]",2010
"9100455",0,1,"0",NA,NA,NA,NA,2430,2016,933080.24,6456168.06,2430,2016,933080.24,6456168.06,"Salix seul","2000–2500","Salix_only","(2014,2019]",2010
"9100478",0,1,"0",NA,NA,NA,NA,2503,2018,950839.295,6457705.808,2503,2018,950839.295,6457705.808,"Salix seul",">2500","Salix_only","(2014,2019]",2010
"9100543",0,1,"0",NA,NA,NA,NA,2371,2017,932129.213,6456080.304,2371,2017,932129.213,6456080.304,"Salix seul","2000–2500","Salix_only","(2014,2019]",2010
"9100627",0,1,"0",NA,NA,NA,NA,2368,2008,1020929.141,6407470.381,2368,2008,1020929.141,6407470.381,"Salix seul","2000–2500","Salix_only","(2004,2009]",2000
"9101785",0,1,"0",NA,NA,NA,NA,2417,2013,948535.6554,6461488.3704,2417,2013,948535.6554,6461488.3704,"Salix seul","2000–2500","Salix_only","(2009,2014]",2010
"9102572",0,1,"0",NA,NA,NA,NA,2743,2011,1001822.457,6419492.522,2743,2011,1001822.457,6419492.522,"Salix seul",">2500","Salix_only","(2009,2014]",2010
"9103265",0,1,"0",NA,NA,NA,NA,2629,1999,1015551.465,6408523.654,2629,1999,1015551.465,6408523.654,"Salix seul",">2500","Salix_only","(1994,1999]",1990
"9105271",0,1,"0",NA,NA,NA,NA,2334,2002,950655.098,6415512.482,2334,2002,950655.098,6415512.482,"Salix seul","2000–2500","Salix_only","(1999,2004]",2000
"9106684",0,1,"0",NA,NA,NA,NA,2242,2002,955364.002,6415606.379,2242,2002,955364.002,6415606.379,"Salix seul","2000–2500","Salix_only","(1999,2004]",2000
"9110208",0,1,"0",NA,NA,NA,NA,2704,2019,1014928.757,6488209.664,2704,2019,1014928.757,6488209.664,"Salix seul",">2500","Salix_only","(2014,2019]",2010
"9124221",0,1,"0",NA,NA,NA,NA,2620,2017,1021733.7,6407726.175,2620,2017,1021733.7,6407726.175,"Salix seul",">2500","Salix_only","(2014,2019]",2010
"9128603",0,1,"0",NA,NA,NA,NA,2400,1993,940211.829,6432837.596,2400,1993,940211.829,6432837.596,"Salix seul","2000–2500","Salix_only","(1989,1994]",1990
"9130984",0,1,"0",NA,NA,NA,NA,2563,2013,948766.1616,6453977.1432,2563,2013,948766.1616,6453977.1432,"Salix seul",">2500","Salix_only","(2009,2014]",2010
"9142906",0,1,"0",NA,NA,NA,NA,2628,2000,967054.517,6446569.026,2628,2000,967054.517,6446569.026,"Salix seul",">2500","Salix_only","(1999,2004]",2000
"9144626",0,1,"0",NA,NA,NA,NA,2627,2012,1015445.82,6408452.01,2627,2012,1015445.82,6408452.01,"Salix seul",">2500","Salix_only","(2009,2014]",2010
"9148540",0,1,"0",NA,NA,NA,NA,2274,2013,952640.4894,6445851.024,2274,2013,952640.4894,6445851.024,"Salix seul","2000–2500","Salix_only","(2009,2014]",2010
"9148543",0,1,"0",NA,NA,NA,NA,2489,2014,937599.5210684,6435725.825839,2489,2014,937599.5210684,6435725.825839,"Salix seul","2000–2500","Salix_only","(2009,2014]",2010
"9148644",0,1,"0",NA,NA,NA,NA,2495,2003,964243.994,6408560.187,2495,2003,964243.994,6408560.187,"Salix seul","2000–2500","Salix_only","(1999,2004]",2000
"9155754",0,1,"0",NA,NA,NA,NA,2204,2002,954887.765,6415596.911,2204,2002,954887.765,6415596.911,"Salix seul","2000–2500","Salix_only","(1999,2004]",2000
"9158111",0,1,"0",NA,NA,NA,NA,2476,2019,986136.6846715,6476411.667081,2476,2019,986136.6846715,6476411.667081,"Salix seul","2000–2500","Salix_only","(2014,2019]",2010
"9158717",0,1,"0",NA,NA,NA,NA,2575,2009,946535.353,6431103.258,2575,2009,946535.353,6431103.258,"Salix seul",">2500","Salix_only","(2004,2009]",2000
