ID;Year;X_L93;Y_L93;Care myos;Sali herb
14.0/8.0;2001;967057,3818;6446621,674;0;0
14.0/9.0;2001;967069,0219;6446622,262;0;1
14.5/1.5;2001;966980,995;6446608,877;0;1
14.5/10.5;2001;967087,143;6446617,736;0;0
14.5/11.5;2001;967099,0474;6446618,721;0;1
14.5/12.5;2001;967109,9598;6446619,705;1;0
14.5/2.5;2001;966992,8994;6446609,861;0;0
14.5/3.5;2001;967004,8039;6446610,845;0;0
14.5/4.5;2001;967016,7083;6446611,83;0;0
14.5/5.5;2001;967028,6128;6446612,814;0;0
14.5/6.5;2001;967039,5252;6446613,799;0;0
14.5/7.5;2001;967052,4217;6446614,783;0;0
14.5/8.5;2001;967063,3341;6446615,768;0;1
14.5/9.5;2001;967075,2385;6446616,752;0;1
15.0/0.0;2001;966963,9187;6446601,668;0;1
15.0/1.0;2001;966975,6675;6446602,597;0;1
15.0/10.0;2001;967081,1907;6446611,83;0;0
15.0/11.0;2001;967093,0952;6446612,814;0;1
15.0/12.0;2001;967104,9996;6446613,799;0;1
15.0/15.0;2001;967139,7209;6446616,752;1;0
15.0/16.0;2001;967152,0841;6446617,604;1;0
15.0/2.0;2001;966987,3674;6446603,668;0;0
15.0/3.0;2001;966998,8517;6446604,939;0;0
15.0/4.0;2001;967010,7561;6446605,923;0;0
15.0/5.0;2001;967022,6605;6446606,908;0;0
15.0/6.0;2001;967034,565;6446607,892;0;0
15.0/7.0;2001;967045,4774;6446608,877;0;0
15.0/8.0;2001;967058,0167;6446609,742;0;1
15.0/9.0;2001;967069,8684;6446610,74;0;1
15.5/1.5;2001;966981,7011;6446597,413;0;0
15.5/12.5;2001;967110,9519;6446608,877;1;0
15.5/15.5;2001;967146,6652;6446611,83;1;0
15.5/2.5;2001;966993,3955;6446598,54;0;0
15.5/3.5;2001;967005,7959;6446600,017;0;0
15.5/4.5;2001;967017,1187;6446600,506;0;0
15.5/5.5;2001;967028,6128;6446601,985;0;0
15.5/6.5;2001;967040,5172;6446602,97;0;0
15.5/7.5;2001;967052,4217;6446603,954;0;0
15.5/8.5;2001;967064,3261;6446604,939;0;0
16.0/1.0;2001;966976,0348;6446591,157;0;0
16.0/10.0;2001;967082,1034;6446600,247;0;1
16.0/11.0;2001;967093,8889;6446601,231;0;1
16.0/12.0;2001;967105,9917;6446602,97;1;0
16.0/15.0;2001;967140,713;6446605,923;1;0
16.0/2.0;2001;966987,9393;6446592,141;0;0
16.0/3.0;2001;966999,6785;6446593,231;0;0
16.0/4.0;2001;967011,5768;6446594,104;0;0
16.0/5.0;2001;967022,6605;6446595,094;0;0
16.0/6.0;2001;967035,0388;6446596,125;0;0
16.0/7.0;2001;967046,8128;6446597,15;0;0
16.0/8.0;2001;967058,612;6446598,199;0;0
16.5/1.5;2001;966982,3839;6446585,908;0;0
16.5/10.5;2001;967088,135;6446595,094;0;1
16.5/11.5;2001;967100,0394;6446596,079;1;0
16.5/14.5;2001;967134,7607;6446599,032;1;0
16.5/15.5;2001;967147,6044;6446600,353;1;0
16.5/2.5;2001;966993,8915;6446586,235;0;0
16.5/3.5;2001;967005,9252;6446587,923;0;0
16.5/4.5;2001;967017,3366;6446588,878;0;0
16.5/5.5;2001;967029,6048;6446590,172;0;0
16.5/6.5;2001;967041,2069;6446590,911;0;0
16.5/7.5;2001;967053,4137;6446592,141;0;0
16.5/8.5;2001;967064,3261;6446593,126;0;0
16.5/9.5;2001;967076,533;6446593,974;0;0
17.0/11.0;2001;967094,4577;6446589,764;1;1
17.0/14.0;2001;967129,8006;6446593,126;1;0
17.0/15.0;2001;967140,54;6446593,566;1;0
17.0/4.0;2001;967012,0127;6446582,661;0;0
17.0/5.0;2001;967023,6526;6446583,281;0;0
17.0/6.0;2001;967035,601;6446584,671;0;0
17.0/7.0;2001;967047,369;6446585,647;0;0
17.0/8.0;2001;967058,8699;6446586,727;0;0
17.0/9.0;2001;967070,9627;6446587,701;0;0
17.5/10.5;2001;967089,1896;6446583,023;0;1
17.5/13.5;2001;967124,3952;6446586,81;1;0
17.5/4.5;2001;967017,7004;6446577,375;0;0
17.5/5.5;2001;967030,5968;6446578,359;0;0
17.5/6.5;2001;967041,5093;6446579,343;0;0
17.5/7.5;2001;967053,4137;6446580,328;0;0
17.5/8.5;2001;967065,3181;6446581,312;0;0
17.5/9.5;2001;967077,2388;6446582,186;0;0
18.0/13.0;2001;967118,5349;6446580,081;1;0
18.0/14.0;2001;967130,4941;6446581,192;1;0
18.0/5.0;2001;967024,4133;6446572,129;0;0
18.0/6.0;2001;967036,2514;6446573,147;0;0
18.0/7.0;2001;967048,0237;6446574,065;0;0
18.0/8.0;2001;967059,3659;6446574,421;0;1
18.0/9.0;2001;967071,3233;6446576,199;0;1
18.5/5.5;2001;967030,5968;6446566,546;0;0
18.5/6.5;2001;967042,5013;6446567,53;0;1
18.5/7.5;2001;967054,4057;6446568,515;0;1
18.5/8.5;2001;967065,3181;6446569,499;0;1
