ID;Year;X_L93;Y_L93;Cluster
8.5/9.5;2001;967072,2624;6446685,662;6
9.0/10.0;2001;967078,2146;6446680,74;6
9.0/11.0;2001;967089,8216;6446681,592;3
9.0/12.0;2001;967102,0235;6446682,709;3
9.0/13.0;2001;967112,9359;6446683,694;4
9.0/14.0;2001;967124,8404;6446684,678;4
9.0/15.0;2001;967136,7448;6446685,662;3
9.0/16.0;2001;967148,6493;6446686,647;6
9.0/17.0;2001;967159,5617;6446687,631;4
9.0/18.0;2001;967172,4582;6446688,616;2
9.0/19.0;2001;967183,9659;6446689,6;8
9.0/3.0;2001;966995,6773;6446673,638;1
9.0/4.0;2001;967007,78;6446674,834;5
9.0/5.0;2001;967019,2216;6446675,653;2
9.0/6.0;2001;967030,5968;6446676,803;2
9.0/7.0;2001;967042,5013;6446677,787;2
9.0/8.0;2001;967054,4057;6446678,771;2
9.0/9.0;2001;967066,2332;6446679,525;2
9.5/10.5;2001;967084,1668;6446674,834;3
9.5/11.5;2001;967096,0713;6446675,818;6
9.5/12.5;2001;967107,9757;6446676,803;4
9.5/13.5;2001;967119,8802;6446677,787;9
9.5/14.5;2001;967130,7926;6446678,771;3
9.5/15.5;2001;967143,6891;6446679,756;3
9.5/16.5;2001;967154,6015;6446680,74;6
9.5/17.5;2001;967166,5059;6446681,725;4
9.5/18.5;2001;967178,4104;6446682,709;2
9.5/2.5;2001;966989,9233;6446666,958;1
9.5/3.5;2001;967001,8278;6446667,943;7
9.5/4.5;2001;967013,7322;6446668,927;7
9.5/5.5;2001;967025,6367;6446669,911;2
9.5/6.5;2001;967036,5491;6446670,896;2
9.5/7.5;2001;967049,4456;6446671,88;2
9.5/8.5;2001;967060,358;6446672,865;2
1.5/8.5;2022;967055,577;6446765,163;1
1.5/9.5;2022;967067,5427;6446765,468;1
10.0/10.0;2022;967078,2146;6446668,927;3
10.0/12.0;2022;967102,0235;6446670,896;3
10.0/14.0;2022;967125,8324;6446672,865;5
10.0/15.0;2022;967136,7448;6446673,849;3
10.0/17.0;2022;967160,5537;6446675,818;2
10.0/18.0;2022;967172,4582;6446676,803;2
10.0/2.0;2022;966984,9631;6446661,052;8
10.0/5.0;2022;967019,6844;6446664,005;2
10.0/6.0;2022;967031,5889;6446664,989;2
10.0/7.0;2022;967042,5013;6446665,974;2
10.5/10.5;2022;967084,1668;6446664,005;1
10.5/11.5;2022;967097,0633;6446664,989;3
10.5/12.5;2022;967107,9757;6446665,974;4
10.5/14.5;2022;967131,7846;6446667,943;3
10.5/15.5;2022;967143,6891;6446668,927;1
10.5/16.5;2022;967155,5935;6446669,911;3
10.5/17.5;2022;967167,498;6446670,896;5
10.5/2.5;2022;966990,4193;6446656,129;7
10.5/3.5;2022;967002,8198;6446657,114;5
10.5/4.5;2022;967013,7322;6446658,098;2
10.5/5.5;2022;967026,6287;6446659,083;3
10.5/6.5;2022;967037,5411;6446660,067;2
10.5/7.5;2022;967049,4456;6446661,052;2
10.5/8.5;2022;967061,35;6446662,036;2
10.5/9.5;2022;967073,2544;6446663,02;2
11.0/1.0;2022;966973,0587;6446649,238;1
11.0/10.0;2022;967079,2067;6446658,098;5
11.0/11.0;2022;967090,1191;6446659,083;5
11.0/12.0;2022;967103,0156;6446660,067;2
11.0/13.0;2022;967113,928;6446661,052;5
11.0/15.0;2022;967137,7369;6446663,02;1
11.0/17.0;2022;967161,6091;6446664,536;3
11.0/18.0;2022;967173,4502;6446665,974;3
11.0/2.0;2022;966984,9631;6446650,223;3
11.0/3.0;2022;966995,8755;6446651,207;2
11.0/6.0;2022;967032,184;6446653,764;2
11.0/7.0;2022;967043,4933;6446655,145;5
11.0/8.0;2022;967055,3978;6446656,129;5
11.0/9.0;2022;967067,3022;6446657,114;5
11.5/1.5;2022;966980,003;6446643,332;1
11.5/10.5;2022;967085,1589;6446652,192;2
11.5/11.5;2022;967097,0633;6446653,176;3
11.5/12.5;2022;967108,9678;6446654,161;2
11.5/13.5;2022;967120,8722;6446655,145;2
11.5/14.5;2022;967131,7846;6446656,129;1
11.5/15.5;2022;967144,6811;6446657,114;1
11.5/16.5;2022;967155,5935;6446658,098;3
11.5/17.5;2022;967167,498;6446659,575;3
11.5/18.5;2022;967179,4024;6446660,067;3
11.5/2.5;2022;966990,9154;6446644,316;3
11.5/3.5;2022;967002,8198;6446645,301;5
11.5/4.5;2022;967014,7243;6446646,285;7
11.5/5.5;2022;967026,6287;6446647,269;2
11.5/6.5;2022;967038,5331;6446648,254;2
11.5/8.5;2022;967061,35;6446650,223;5
11.5/9.5;2022;967074,2465;6446651,207;2
12.0/0.0;2022;966962,1463;6446636,441;8
12.0/1.0;2022;966973,0587;6446637,425;3
12.0/15.0;2022;967137,7369;6446651,207;5
12.0/17.0;2022;967161,5457;6446653,176;3
12.0/18.0;2022;967173,4502;6446654,161;4
12.0/2.0;2022;966985,9552;6446638,41;3
12.0/3.0;2022;966997,5026;6446639,182;2
12.0/4.0;2022;967008,772;6446640,378;5
12.0/5.0;2022;967020,6765;6446641,363;7
12.0/6.0;2022;967032,5809;6446642,347;7
12.0/9.0;2022;967067,9901;6446645,248;5
12.5/11.5;2022;967098,0554;6446642,347;3
12.5/12.5;2022;967108,9678;6446643,332;10
12.5/14.5;2022;967132,7767;6446645,301;3
12.5/15.5;2022;967144,6811;6446646,285;5
12.5/16.5;2022;967156,5856;6446647,269;3
12.5/17.5;2022;967168,49;6446648,254;3
12.5/2.5;2022;966991,9074;6446633,487;5
12.5/8.5;2022;967062,342;6446639,394;9
12.5/9.5;2022;967074,2465;6446640,378;5
13.0/1.0;2022;966974,0507;6446625,612;3
13.0/10.0;2022;967080,1987;6446634,472;5
13.0/11.0;2022;967092,1031;6446635,456;3
13.0/12.0;2022;967104,0076;6446636,441;4
13.0/13.0;2022;967115,555;6446637,743;6
13.0/14.0;2022;967127,8165;6446638,41;3
13.0/15.0;2022;967138,7289;6446639,394;9
13.0/16.0;2022;967150,6333;6446640,378;1
13.0/2.0;2022;966985,9552;6446626,596;2
13.0/3.0;2022;966997,8596;6446627,581;2
13.0/4.0;2022;967009,7641;6446628,565;2
13.0/6.0;2022;967033,573;6446630,534;2
13.0/7.0;2022;967044,4854;6446631,519;2
13.0/9.0;2022;967068,2943;6446633,487;4
13.5/10.5;2022;967086,1509;6446629,55;10
13.5/11.5;2022;967098,0554;6446630,534;9
13.5/14.5;2022;967133,7687;6446633,487;3
13.5/15.5;2022;967145,6731;6446634,472;3
13.5/16.5;2022;967156,5856;6446635,456;3
13.5/17.5;2022;967169,482;6446636,441;3
13.5/2.5;2022;966991,9074;6446621,674;2
13.5/3.5;2022;967004,8039;6446622,659;5
